epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,1552.71,1.4163,1.31421,1.50787,0.58383,0.61773,0.62743,0.31139,1.53071,1.6361,1.42693,0.000952889,0.000952889,0.000952889
51,1584.62,1.38123,1.33325,1.47686,0.70018,0.63989,0.7126,0.38734,1.39665,1.3884,1.36174,0.00095098,0.00095098,0.00095098
52,1612.52,1.40226,1.29006,1.46556,0.69994,0.67697,0.72666,0.38917,1.42022,1.13746,1.38006,0.000949034,0.000949034,0.000949034
53,1643.15,1.43316,1.31341,1.52254,0.65983,0.68746,0.74687,0.43494,1.33557,1.0845,1.32784,0.000947052,0.000947052,0.000947052
54,1675.22,1.3311,1.27954,1.43993,0.5551,0.56583,0.57093,0.30342,1.58653,1.75022,1.54082,0.000945035,0.000945035,0.000945035
55,1706.96,1.44009,1.42228,1.50065,0.64138,0.65312,0.71095,0.37672,1.42132,1.46173,1.36021,0.000942983,0.000942983,0.000942983
56,1735.06,1.34964,1.39263,1.452,0.65857,0.65525,0.69799,0.38372,1.4224,1.1325,1.38466,0.000940895,0.000940895,0.000940895
57,1767.54,1.40357,1.33206,1.4874,0.62778,0.67561,0.71351,0.38502,1.4462,1.86773,1.39169,0.000938772,0.000938772,0.000938772
58,1797.88,1.37357,1.28676,1.45484,0.7002,0.60898,0.67885,0.38049,1.39865,1.27402,1.37377,0.000936614,0.000936614,0.000936614
59,1827.25,1.36474,1.28966,1.44712,0.57814,0.61481,0.61818,0.34132,1.44712,1.36822,1.41015,0.000934421,0.000934421,0.000934421
60,1856.8,1.29307,1.27628,1.38024,0.65156,0.7093,0.72096,0.40456,1.40825,1.11827,1.38607,0.000932194,0.000932194,0.000932194
61,1886.82,1.39958,1.30679,1.49215,0.62466,0.64109,0.67454,0.38404,1.42468,1.2704,1.40552,0.000929932,0.000929932,0.000929932
62,1914.91,1.36278,1.2841,1.45965,0.62751,0.65913,0.68441,0.39289,1.35923,1.16484,1.36422,0.000927636,0.000927636,0.000927636
63,1942.62,1.38716,1.3177,1.45613,0.71573,0.72474,0.7676,0.43607,1.34587,1.04757,1.33867,0.000925306,0.000925306,0.000925306
64,1970.42,1.34911,1.28487,1.44583,0.65123,0.66968,0.7106,0.40134,1.41587,1.14134,1.38728,0.000922942,0.000922942,0.000922942
65,2000,1.40746,1.30816,1.44468,0.66408,0.69583,0.73173,0.40788,1.37408,1.10365,1.35934,0.000920545,0.000920545,0.000920545
66,2028.28,1.38766,1.27935,1.50947,0.68213,0.67912,0.73204,0.41487,1.38544,1.10918,1.35718,0.000918114,0.000918114,0.000918114
67,2060.26,1.36717,1.25947,1.47677,0.58521,0.64901,0.66511,0.36899,1.37721,1.53351,1.36286,0.000915649,0.000915649,0.000915649
68,2091.39,1.37425,1.21676,1.44493,0.68655,0.73105,0.75783,0.43947,1.33059,1.08608,1.32529,0.000913152,0.000913152,0.000913152
69,2121.41,1.28615,1.2388,1.39307,0.63201,0.7005,0.712,0.40331,1.4226,1.11074,1.39724,0.000910622,0.000910622,0.000910622
70,2150.28,1.34009,1.27051,1.44779,0.65709,0.72183,0.75187,0.44537,1.30144,1.09721,1.31433,0.000908059,0.000908059,0.000908059
71,2181.46,1.36319,1.2287,1.44918,0.61663,0.68805,0.71202,0.40967,1.3649,1.1186,1.37569,0.000905463,0.000905463,0.000905463
72,2209.64,1.34337,1.38737,1.43499,0.7223,0.75877,0.79735,0.46003,1.33272,0.96276,1.30161,0.000902836,0.000902836,0.000902836
73,2238.43,1.28374,1.38919,1.3797,0.64499,0.7006,0.72469,0.42472,1.31577,1.07384,1.32957,0.000900176,0.000900176,0.000900176
74,2269.72,1.32938,1.18341,1.41979,0.68167,0.67,0.7246,0.41618,1.33826,1.1176,1.34201,0.000897484,0.000897484,0.000897484
75,2298.68,1.40133,1.34044,1.49242,0.73292,0.70322,0.77133,0.4627,1.2576,1.01653,1.28596,0.000894761,0.000894761,0.000894761
76,2326.46,1.34158,1.24594,1.42431,0.6829,0.71914,0.76553,0.44988,1.29525,0.99223,1.31092,0.000892007,0.000892007,0.000892007
77,2354.79,1.33407,1.35082,1.43113,0.73025,0.74899,0.79972,0.48211,1.26971,0.95012,1.27849,0.000889221,0.000889221,0.000889221
78,2383.04,1.31646,1.19951,1.40702,0.70324,0.69014,0.74428,0.4339,1.30861,1.05138,1.3237,0.000886404,0.000886404,0.000886404
79,2411.74,1.31225,1.26277,1.42568,0.68326,0.72511,0.76666,0.45096,1.29622,1.0133,1.29429,0.000883557,0.000883557,0.000883557
80,2441.66,1.25897,1.26126,1.3545,0.6151,0.69375,0.68995,0.40142,1.31282,1.18272,1.3126,0.000880679,0.000880679,0.000880679
81,2469.28,1.30811,1.22069,1.41789,0.71139,0.69751,0.75538,0.45038,1.31645,0.99697,1.33409,0.00087777,0.00087777,0.00087777
82,2497.38,1.33459,1.19712,1.43672,0.69812,0.71669,0.75988,0.45982,1.27694,0.98209,1.2894,0.000874832,0.000874832,0.000874832
83,2528.56,1.31311,1.1951,1.42297,0.69345,0.6939,0.74908,0.44226,1.25452,1.17983,1.27469,0.000871864,0.000871864,0.000871864
84,2557.45,1.31943,1.22258,1.44043,0.67861,0.63946,0.69688,0.40743,1.36828,1.12796,1.39035,0.000868866,0.000868866,0.000868866
85,2588.88,1.29318,1.18815,1.40818,0.57247,0.55391,0.59244,0.33543,1.56388,1.48211,1.56156,0.000865839,0.000865839,0.000865839
86,2618.58,1.32741,1.25,1.42596,0.68392,0.65269,0.71539,0.43139,1.29828,1.18819,1.33659,0.000862783,0.000862783,0.000862783
87,2646.61,1.26228,1.33493,1.35896,0.71993,0.76166,0.80523,0.4917,1.23298,0.94838,1.25131,0.000859699,0.000859699,0.000859699
88,2674.48,1.2904,1.16523,1.41024,0.75675,0.745,0.8043,0.49388,1.2301,0.92552,1.26216,0.000856585,0.000856585,0.000856585
89,2703.15,1.36739,1.20586,1.46221,0.70226,0.7415,0.77116,0.46515,1.26583,0.9936,1.28339,0.000853443,0.000853443,0.000853443
90,2735.13,1.31869,1.25086,1.42982,0.65352,0.7044,0.73656,0.4394,1.27936,1.19823,1.29018,0.000850274,0.000850274,0.000850274
